time,price,volume
092045,59800,7208394
092050,59800,7211699
092055,59800,7214250
092100,59700,7215584
092105,59800,7219331
092110,59800,7220455
092115,59800,7224850
092120,59800,7227694
092125,59800,7230279
092130,59800,7232881
092135,59800,7234390
092140,59800,7238313
092145,59700,7242942
092150,59800,7244535
092155,59800,7263960
092200,59800,7272781
092205,59800,7281760
092210,59800,7289155
092215,59800,7293717
092220,59800,7303697
092225,59700,7308137
092230,59800,7311149
092235,59800,7315692
092240,59800,7317763
092245,59800,7328021
092250,59800,7329478
092255,59800,7335673
092300,59800,7343782
092305,59700,7345760
092310,59800,7353722
092315,59800,7357455
092320,59700,7364990
092325,59800,7386694
092330,59800,7389625
092335,59700,7399376
092340,59800,7404359
092345,59700,7431800
092350,59800,7440585
092355,59800,7441898
092400,59800,7464193
092405,59800,7497262
092410,59700,7575721
092415,59800,7582008
092420,59800,7591581
092425,59700,7596382
092430,59700,7597334
092435,59700,7600843
092440,59600,7602650
092445,59700,7607193
092450,59700,7611902
092455,59600,7613832
092500,59600,7617589
092505,59700,7618425
092510,59600,7619658
092515,59600,7622188
092520,59600,7627095
092525,59600,7628629
092530,59600,7630436
092535,59600,7636891
092540,59700,7640554
092545,59700,7643308
092550,59600,7645799
092555,59600,7648096
092600,59600,7650972
092605,59700,7747458
092610,59700,7784890
092615,59600,7815527
092620,59600,7821885
092625,59700,7823210
092630,59700,7837930
092635,59700,7839494
092640,59600,7842178
092645,59600,7844322
092650,59700,7845892
092655,59700,7847899
092700,59600,7850874
092705,59700,7853134
092710,59700,7859221
092715,59700,7880434
092720,59600,7884296
092725,59700,7890694
092730,59700,7891299
092735,59600,7892129
092740,59700,7895110
092745,59700,7896664
092750,59700,7898262
092755,59700,7900689
092800,59600,7903229
092805,59600,7903229
092810,59700,7907034
092815,59700,7915468
092820,59600,7918506
092825,59600,7920030
092830,59600,7922688
092835,59600,7922688
092840,59700,7940688
092845,59700,7944537
092850,59700,7945541
092855,59700,7945541
092900,59600,7947554
092905,59700,7950767
092910,59600,7952974
092915,59600,7952974
092920,59700,7955281
092925,59600,7958312
092930,59600,7960428
092935,59700,7970701
092940,59600,7973109
092945,59600,7981919
092950,59600,7985036
092955,59600,7999552
093000,59600,8021055
093005,59600,8028199
093010,59700,8030729
093015,59700,8033632
093020,59600,8039725
093025,59600,8043416
093030,59700,8044176
093035,59600,8046040
093040,59600,8048469
093045,59500,8194676
093050,59600,8196444
093055,59600,8196444
093100,59600,8209078
093105,59600,8216548
093110,59600,8242699
093115,59600,8248829
093120,59500,8252620
093125,59600,8254273
093130,59600,8257722
093135,59600,8258892
093140,59500,8260081
093145,59500,8271911
093150,59500,8271911
093155,59500,8274545
093200,59500,8277649
093205,59500,8282358
093210,59500,8285352
093215,59500,8286463
093220,59500,8290523
093225,59500,8313728
093230,59400,8411156
093235,59400,8412390
093240,59400,8413830
093245,59500,8434221
093250,59500,8441548
093255,59500,8444706
093300,59500,8447997
093305,59600,8453205
093310,59500,8455297
093315,59600,8457756
093320,59500,8460270
093325,59600,8463889
093330,59600,8465226
093335,59600,8468230
093340,59500,8479681
093345,59500,8482130
093350,59500,8485439
093355,59600,8497237
093400,59500,8500343
093405,59500,8546426
093410,59400,8553217
093415,59500,8558906
093420,59500,8560504
093425,59500,8562832
093430,59400,8564588
093435,59400,8564588
093440,59500,8566539
093445,59500,8578747
093450,59400,8579481
093455,59400,8582670
093500,59500,8584079
093505,59500,8586064
093510,59400,8593892
093515,59500,8594828
093520,59400,8596797
093525,59500,8602764
093530,59400,8609468
093535,59500,8611704
093540,59500,8611704
093545,59500,8665923
093550,59500,8669831
093555,59500,8673414
093600,59600,8679506
093605,59500,8690956
093610,59500,8693687
093615,59600,8695258
093620,59500,8698526
093625,59600,8700436
093630,59500,8704202
093635,59500,8707928
093640,59500,8711340
093645,59500,8712613
093650,59600,8714997
093655,59600,8718014
093700,59500,8719122
093705,59500,8719122
093710,59500,8721210
093715,59600,8724347
093720,59600,8724347
093725,59600,8726219
093730,59500,8728088
093735,59500,8728088
093740,59500,8729043
093745,59500,8731408
093750,59500,8733729
093755,59500,8769544
093800,59500,8769544
093805,59500,8770797
093810,59500,8771546
093815,59600,8772829
093820,59500,8775213
093825,59500,8775213
093830,59500,8780476
093835,59600,8783810
093840,59500,8786883
093845,59500,8789983
093850,59500,8793384
093855,59500,8796071
093900,59600,8800260
093905,59500,8804565
093910,59500,8807452
093915,59500,8810293
093920,59500,8810293
093925,59500,8811326
093930,59500,8818430
093935,59600,8823430
093940,59600,8824397
093945,59500,8837241
093950,59600,8839120
093955,59500,8843718
094000,59500,8845274
