,index,consider_len,end_time,buy_discount_rate,sell_discount_rate,buy_power_threshold,sell_power_threshold,buy_accel_threshold,sell_accel_threshold,buy_power_ratio_threshold,mean_earning_rate,total_trade_count,oscillation_count,oscillation_ratio,profit
928,0,20,20200901091000 ,0.5,0.7,10,1,0.5,0.7,2000,0.26,6,3,0.5,1.56
1724,0,20,20200901101000 ,0.5,0.9,100,2,0.5,0.7,20000,0.52,10,4,0.4,5.2
2790,0,20,20200901093000 ,0.7,0.9,5,1,0.5,0.7,100,0.26,20,3,0.15,5.2
425,0,20,20200901092000 ,0.5,0.5,10,2,0.5,0.7,2000,0.28,18,11,0.61,5.04
2019,0,20,20200901092000 ,0.7,0.5,10,1,0.5,0.5,100,0.42,12,6,0.5,5.04
448,0,20,20200901091000 ,0.5,0.5,100,1,0.3,0.5,2000,0.25,9,6,0.67,2.25
845,0,20,20200901092000 ,0.5,0.7,5,2,0.5,0.5,2000,0.19,26,15,0.58,4.94
1999,0,20,20200901091000 ,0.7,0.5,10,1,0.3,0.7,100,0.49,10,5,0.5,4.9
645,0,20,20200901092000 ,0.5,0.7,2,1,0.5,0.7,20000,0.44,11,6,0.55,4.84
1095,0,20,20200901091000 ,0.5,0.7,100,2,0.3,0.5,2000,0.25,9,6,0.67,2.25
1276,0,20,20200901092000 ,0.5,0.9,2,2,0.5,0.5,2000,0.12,40,31,0.77,4.8
2652,0,20,20200901092000 ,0.7,0.9,2,1,0.5,0.5,100,0.19,25,13,0.52,4.75
1650,0,20,20200901101000 ,0.5,0.9,100,1,0.5,0.7,2000,0.22,21,8,0.38,4.62
1509,0,20,20200901093000 ,0.5,0.9,10,1,0.5,0.7,20000,0.25,9,2,0.22,2.25
1770,0,20,20200901101000 ,0.7,0.5,2,1,0.5,0.3,20000,0.25,2,1,0.5,0.5
1781,0,20,20200901091000 ,0.7,0.5,2,1,0.5,0.7,100,0.25,9,4,0.44,2.25
1836,0,20,20200901101000 ,0.7,0.5,2,2,0.5,0.3,20000,0.25,2,1,0.5,0.5
1846,0,20,20200901101000 ,0.7,0.5,2,2,0.5,0.5,20000,0.25,2,1,0.5,0.5
2210,0,20,20200901101000 ,0.7,0.7,2,1,0.5,0.3,20000,0.25,2,1,0.5,0.5
2276,0,20,20200901101000 ,0.7,0.7,2,2,0.5,0.3,20000,0.25,2,1,0.5,0.5
2286,0,20,20200901101000 ,0.7,0.7,2,2,0.5,0.5,20000,0.25,2,1,0.5,0.5
2340,0,20,20200901091000 ,0.7,0.7,5,1,0.5,0.5,100,0.25,7,4,0.57,1.75
2650,0,20,20200901101000 ,0.7,0.9,2,1,0.5,0.3,20000,0.25,2,1,0.5,0.5
2660,0,20,20200901101000 ,0.7,0.9,2,1,0.5,0.5,20000,0.25,2,1,0.5,0.5
2670,0,20,20200901101000 ,0.7,0.9,2,1,0.5,0.7,20000,0.25,2,1,0.5,0.5
2716,0,20,20200901101000 ,0.7,0.9,2,2,0.5,0.3,20000,0.25,2,1,0.5,0.5
2726,0,20,20200901101000 ,0.7,0.9,2,2,0.5,0.5,20000,0.25,2,1,0.5,0.5
2736,0,20,20200901101000 ,0.7,0.9,2,2,0.5,0.7,20000,0.25,2,1,0.5,0.5
2518,0,20,20200901092000 ,0.7,0.7,10,2,0.5,0.5,100,0.38,12,6,0.5,4.56
281,0,20,20200901092000 ,0.5,0.5,5,2,0.5,0.7,2000,0.19,24,15,0.62,4.56
2498,0,20,20200901091000 ,0.7,0.7,10,2,0.3,0.7,100,0.45,10,5,0.5,4.5
269,0,20,20200901092000 ,0.5,0.5,5,2,0.5,0.5,2000,0.18,25,15,0.6,4.5
1000,0,20,20200901091000 ,0.5,0.7,10,2,0.5,0.7,2000,0.24,8,4,0.5,1.92
1142,0,20,20200901101000 ,0.5,0.7,100,2,0.5,0.7,100,0.18,25,11,0.44,4.5
2728,0,20,20200901092000 ,0.7,0.9,2,2,0.5,0.7,100,0.17,26,16,0.62,4.42
1344,0,20,20200901092000 ,0.5,0.9,5,1,0.5,0.5,100,0.11,40,22,0.55,4.4
2583,0,20,20200901091000 ,0.7,0.7,100,2,0.3,0.7,100,0.24,4,2,0.5,0.96
340,0,20,20200901091000 ,0.5,0.5,10,1,0.5,0.5,2000,0.23,8,5,0.62,1.84
2900,0,20,20200901093000 ,0.7,0.9,10,1,0.5,0.5,100,0.29,15,5,0.33,4.35
1431,0,20,20200901091000 ,0.5,0.9,5,2,0.5,0.7,2000,0.23,9,5,0.56,2.07
769,0,20,20200901092000 ,0.5,0.7,5,1,0.5,0.5,100,0.11,39,26,0.67,4.29
2547,0,20,20200901091000 ,0.7,0.7,100,1,0.3,0.7,100,0.23,3,2,0.67,0.69
3023,0,20,20200901091000 ,0.7,0.9,100,2,0.3,0.7,100,0.23,3,2,0.67,0.69
2086,0,20,20200901092000 ,0.7,0.5,10,2,0.5,0.7,100,0.38,11,6,0.55,4.18
337,0,20,20200901092000 ,0.5,0.5,10,1,0.5,0.5,100,0.15,27,17,0.63,4.05
1129,0,20,20200901093000 ,0.5,0.7,100,2,0.5,0.5,100,0.25,16,9,0.56,4
2078,0,20,20200901092000 ,0.7,0.5,10,2,0.5,0.5,100,0.33,12,7,0.58,3.96
482,0,20,20200901093000 ,0.5,0.5,100,1,0.5,0.5,100,0.24,16,9,0.56,3.84
53,0,20,20200901092000 ,0.5,0.5,2,1,0.5,0.5,2000,0.11,34,20,0.59,3.74
713,0,20,20200901092000 ,0.5,0.7,2,2,0.5,0.7,2000,0.11,34,23,0.68,3.74
633,0,20,20200901092000 ,0.5,0.7,2,1,0.5,0.5,20000,0.31,12,7,0.58,3.72
489,0,20,20200901092000 ,0.5,0.5,100,1,0.5,0.5,20000,0.21,2,1,0.5,0.42
561,0,20,20200901092000 ,0.5,0.5,100,2,0.5,0.5,20000,0.21,2,1,0.5,0.42
573,0,20,20200901092000 ,0.5,0.5,100,2,0.5,0.7,20000,0.21,2,1,0.5,0.42
