,index,consider_len,end_time,buy_discount_rate,sell_discount_rate,buy_power_threshold,sell_power_threshold,buy_accel_threshold,sell_accel_threshold,buy_power_ratio_threshold,mean_earning_rate,total_trade_count,oscillation_count,oscillation_ratio
191,0,20,20200901101000 ,0.9,0.5,2,2,0.15,0.5,20000,-0.25,36,30,0.83
192,0,20,20200901091000 ,0.9,0.5,2,2,0.15,0.7,100,-0.74,3,3,1
193,0,20,20200901092000 ,0.9,0.5,2,2,0.15,0.7,100,-0.39,14,13,0.93
194,0,20,20200901093000 ,0.9,0.5,2,2,0.15,0.7,100,-0.27,37,30,0.81
195,0,20,20200901101000 ,0.9,0.5,2,2,0.15,0.7,100,-0.28,72,57,0.79
196,0,20,20200901091000 ,0.9,0.5,2,2,0.15,0.7,2000,-0.74,1,1,1
197,0,20,20200901092000 ,0.9,0.5,2,2,0.15,0.7,2000,-0.55,6,6,1
198,0,20,20200901093000 ,0.9,0.5,2,2,0.15,0.7,2000,-0.27,22,20,0.91
199,0,20,20200901101000 ,0.9,0.5,2,2,0.15,0.7,2000,-0.24,38,31,0.82
200,0,20,20200901091000 ,0.9,0.5,2,2,0.15,0.7,20000,-0.74,1,1,1
201,0,20,20200901092000 ,0.9,0.5,2,2,0.15,0.7,20000,-0.55,6,6,1
202,0,20,20200901093000 ,0.9,0.5,2,2,0.15,0.7,20000,-0.29,20,19,0.95
203,0,20,20200901101000 ,0.9,0.5,2,2,0.15,0.7,20000,-0.25,36,30,0.83
204,0,20,20200901091000 ,0.9,0.5,2,2,0.3,0.3,100,-0.21,9,7,0.78
205,0,20,20200901092000 ,0.9,0.5,2,2,0.3,0.3,100,-0.24,20,15,0.75
206,0,20,20200901093000 ,0.9,0.5,2,2,0.3,0.3,100,-0.19,43,29,0.67
207,0,20,20200901101000 ,0.9,0.5,2,2,0.3,0.3,100,-0.21,92,72,0.78
1399,0,20,20200901101000 ,0.9,0.9,2,2,0.5,0.5,2000,0.98,1,0,0
1404,0,20,20200901093000 ,0.9,0.9,2,2,0.5,0.7,2000,0.98,1,0,0
1405,0,20,20200901101000 ,0.9,0.9,2,2,0.5,0.7,2000,0.98,1,0,0
1476,0,20,20200901093000 ,0.9,0.9,2,2,0.5,0.3,2000,0.98,1,0,0
1477,0,20,20200901101000 ,0.9,0.9,2,2,0.5,0.3,2000,0.98,1,0,0
1482,0,20,20200901093000 ,0.9,0.9,2,2,0.5,0.5,2000,0.98,1,0,0
214,0,20,20200901091000 ,0.9,0.5,2,2,0.3,0.5,100,-0.23,5,3,0.6
215,0,20,20200901092000 ,0.9,0.5,2,2,0.3,0.5,100,-0.27,11,9,0.82
216,0,20,20200901093000 ,0.9,0.5,2,2,0.3,0.5,100,-0.18,24,17,0.71
217,0,20,20200901101000 ,0.9,0.5,2,2,0.3,0.5,100,-0.22,46,34,0.74
218,0,20,20200901092000 ,0.9,0.5,2,2,0.3,0.5,2000,-0.28,1,1,1
219,0,20,20200901093000 ,0.9,0.5,2,2,0.3,0.5,2000,-0.03,8,6,0.75
1483,0,20,20200901101000 ,0.9,0.9,2,2,0.5,0.5,2000,0.98,1,0,0
221,0,20,20200901092000 ,0.9,0.5,2,2,0.3,0.5,20000,-0.28,1,1,1
222,0,20,20200901093000 ,0.9,0.5,2,2,0.3,0.5,20000,-0.09,6,5,0.83
1488,0,20,20200901093000 ,0.9,0.9,2,2,0.5,0.7,2000,0.98,1,0,0
224,0,20,20200901091000 ,0.9,0.5,2,2,0.3,0.7,100,-0.74,2,2,1
225,0,20,20200901092000 ,0.9,0.5,2,2,0.3,0.7,100,-0.27,8,7,0.87
226,0,20,20200901093000 ,0.9,0.5,2,2,0.3,0.7,100,-0.18,20,14,0.7
227,0,20,20200901101000 ,0.9,0.5,2,2,0.3,0.7,100,-0.22,40,29,0.72
228,0,20,20200901092000 ,0.9,0.5,2,2,0.3,0.7,2000,-0.28,1,1,1
229,0,20,20200901093000 ,0.9,0.5,2,2,0.3,0.7,2000,-0.08,8,6,0.75
1489,0,20,20200901101000 ,0.9,0.9,2,2,0.5,0.7,2000,0.98,1,0,0
231,0,20,20200901092000 ,0.9,0.5,2,2,0.3,0.7,20000,-0.28,1,1,1
232,0,20,20200901093000 ,0.9,0.5,2,2,0.3,0.7,20000,-0.09,6,5,0.83
4791,0,40,20200901093000 ,0.9,0.9,5,1,0.15,0.5,20000,0.97,1,0,0
234,0,20,20200901091000 ,0.9,0.5,2,2,0.5,0.3,100,-0.65,2,2,1
235,0,20,20200901092000 ,0.9,0.5,2,2,0.5,0.3,100,-0.53,3,3,1
236,0,20,20200901093000 ,0.9,0.5,2,2,0.5,0.3,100,-0.15,4,3,0.75
237,0,20,20200901101000 ,0.9,0.5,2,2,0.5,0.3,100,-0.29,10,8,0.8
4800,0,40,20200901093000 ,0.9,0.9,5,1,0.15,0.7,20000,0.97,1,0,0
4851,0,40,20200901093000 ,0.9,0.9,5,2,0.15,0.5,20000,0.97,1,0,0
240,0,20,20200901091000 ,0.9,0.5,2,2,0.5,0.5,100,-1.02,1,1,1
241,0,20,20200901092000 ,0.9,0.5,2,2,0.5,0.5,100,-0.65,2,2,1
242,0,20,20200901093000 ,0.9,0.5,2,2,0.5,0.5,100,-0.11,3,2,0.67
243,0,20,20200901101000 ,0.9,0.5,2,2,0.5,0.5,100,-0.33,5,4,0.8
4860,0,40,20200901093000 ,0.9,0.9,5,2,0.15,0.7,20000,0.97,1,0,0
5789,0,40,20200901093000 ,0.95,0.9,5,1,0.15,0.5,2000,0.97,1,0,0
246,0,20,20200901091000 ,0.9,0.5,2,2,0.5,0.7,100,-1.02,1,1,1
247,0,20,20200901092000 ,0.9,0.5,2,2,0.5,0.7,100,-0.65,2,2,1
248,0,20,20200901093000 ,0.9,0.5,2,2,0.5,0.7,100,-0.25,3,2,0.67
249,0,20,20200901101000 ,0.9,0.5,2,2,0.5,0.7,100,-0.42,5,4,0.8
5791,0,40,20200901093000 ,0.95,0.9,5,1,0.15,0.5,20000,0.97,1,0,0
5796,0,40,20200901093000 ,0.95,0.9,5,1,0.15,0.7,2000,0.97,1,0,0
252,0,20,20200901091000 ,0.9,0.5,5,1,0.15,0.3,100,-0.74,1,1,1
253,0,20,20200901092000 ,0.9,0.5,5,1,0.15,0.3,100,-0.33,12,10,0.83
254,0,20,20200901093000 ,0.9,0.5,5,1,0.15,0.3,100,-0.36,29,22,0.76
255,0,20,20200901101000 ,0.9,0.5,5,1,0.15,0.3,100,-0.32,73,62,0.85
256,0,20,20200901091000 ,0.9,0.5,5,1,0.15,0.3,2000,-0.74,1,1,1
257,0,20,20200901092000 ,0.9,0.5,5,1,0.15,0.3,2000,-0.62,2,2,1
258,0,20,20200901093000 ,0.9,0.5,5,1,0.15,0.3,2000,-0.61,6,6,1
259,0,20,20200901101000 ,0.9,0.5,5,1,0.15,0.3,2000,-0.39,15,13,0.87
260,0,20,20200901091000 ,0.9,0.5,5,1,0.15,0.3,20000,-0.74,1,1,1
261,0,20,20200901092000 ,0.9,0.5,5,1,0.15,0.3,20000,-0.62,2,2,1
262,0,20,20200901093000 ,0.9,0.5,5,1,0.15,0.3,20000,-0.61,6,6,1
263,0,20,20200901101000 ,0.9,0.5,5,1,0.15,0.3,20000,-0.39,15,13,0.87
264,0,20,20200901091000 ,0.9,0.5,5,1,0.15,0.5,100,-0.74,1,1,1
265,0,20,20200901092000 ,0.9,0.5,5,1,0.15,0.5,100,-0.65,5,5,1
266,0,20,20200901093000 ,0.9,0.5,5,1,0.15,0.5,100,-0.48,15,13,0.87
267,0,20,20200901101000 ,0.9,0.5,5,1,0.15,0.5,100,-0.38,35,27,0.77
268,0,20,20200901091000 ,0.9,0.5,5,1,0.15,0.5,2000,-0.74,1,1,1
269,0,20,20200901092000 ,0.9,0.5,5,1,0.15,0.5,2000,-0.62,2,2,1
270,0,20,20200901093000 ,0.9,0.5,5,1,0.15,0.5,2000,-0.61,6,6,1
271,0,20,20200901101000 ,0.9,0.5,5,1,0.15,0.5,2000,-0.47,13,11,0.85
272,0,20,20200901091000 ,0.9,0.5,5,1,0.15,0.5,20000,-0.74,1,1,1
273,0,20,20200901092000 ,0.9,0.5,5,1,0.15,0.5,20000,-0.62,2,2,1
274,0,20,20200901093000 ,0.9,0.5,5,1,0.15,0.5,20000,-0.61,6,6,1
275,0,20,20200901101000 ,0.9,0.5,5,1,0.15,0.5,20000,-0.47,13,11,0.85
276,0,20,20200901091000 ,0.9,0.5,5,1,0.15,0.7,100,-0.74,1,1,1
277,0,20,20200901092000 ,0.9,0.5,5,1,0.15,0.7,100,-0.65,5,5,1
278,0,20,20200901093000 ,0.9,0.5,5,1,0.15,0.7,100,-0.5,14,12,0.86
