,index,time,code,price,volume,hoga_sell_amount,hoga_buy_amount
194,0,20200901092206 ,214330,4745,20074216,0,0
195,0,20200901092212 ,214330,4735,20112515,0,0
196,0,20200901092217 ,214330,4740,20183725,0,0
197,0,20200901092222 ,214330,4755,20261732,0,0
198,0,20200901092228 ,214330,4765,20305657,0,0
199,0,20200901092233 ,214330,4780,20377521,0,0
200,0,20200901092239 ,214330,4745,20560720,0,0
201,0,20200901092245 ,214330,4725,20611892,0,0
202,0,20200901092251 ,214330,4730,20713286,0,0
203,0,20200901092257 ,214330,4745,20741859,0,0
204,0,20200901092302 ,214330,4730,20773329,0,0
205,0,20200901092308 ,214330,4735,20805254,0,0
206,0,20200901092313 ,214330,4740,20860497,0,0
207,0,20200901092319 ,214330,4730,20875375,0,0
208,0,20200901092324 ,214330,4705,20992319,0,0
209,0,20200901092330 ,214330,4670,21055343,0,0
210,0,20200901092336 ,214330,4685,21120380,0,0
211,0,20200901092341 ,214330,4690,21135815,0,0
212,0,20200901092346 ,214330,4700,21153843,0,0
213,0,20200901092352 ,214330,4680,21238387,0,0
214,0,20200901092358 ,214330,4660,21257538,0,0
215,0,20200901092403 ,214330,4670,21289887,0,0
216,0,20200901092408 ,214330,4655,21321147,0,0
217,0,20200901092414 ,214330,4665,21349190,0,0
218,0,20200901092419 ,214330,4700,21404787,0,0
219,0,20200901092424 ,214330,4695,21453370,0,0
220,0,20200901092429 ,214330,4700,21474873,0,0
221,0,20200901092435 ,214330,4710,21491287,0,0
222,0,20200901092440 ,214330,4675,21545533,0,0
223,0,20200901092446 ,214330,4680,21561302,0,0
224,0,20200901092451 ,214330,4685,21572801,0,0
225,0,20200901092456 ,214330,4705,21599319,0,0
226,0,20200901092501 ,214330,4710,21614312,0,0
227,0,20200901092507 ,214330,4745,21669675,0,0
228,0,20200901092513 ,214330,4775,21813842,0,0
229,0,20200901092518 ,214330,4780,21954129,0,0
230,0,20200901092524 ,214330,4770,22020046,0,0
231,0,20200901092530 ,214330,4780,22055188,0,0
232,0,20200901092536 ,214330,4790,22183681,0,0
233,0,20200901092541 ,214330,4765,22255000,0,0
234,0,20200901092546 ,214330,4740,22283877,0,0
235,0,20200901092551 ,214330,4750,22357363,0,0
236,0,20200901092557 ,214330,4765,22366859,0,0
237,0,20200901092602 ,214330,4770,22394658,0,0
238,0,20200901092607 ,214330,4765,22442323,0,0
239,0,20200901092613 ,214330,4745,22475105,0,0
240,0,20200901092618 ,214330,4750,22487831,0,0
241,0,20200901092623 ,214330,4755,22513734,0,0
242,0,20200901092629 ,214330,4740,22578105,0,0
243,0,20200901092634 ,214330,4745,22595724,0,0
244,0,20200901092641 ,214330,4750,22634410,0,0
245,0,20200901092646 ,214330,4750,22643791,0,0
246,0,20200901092651 ,214330,4755,22661994,0,0
247,0,20200901092657 ,214330,4750,22699448,0,0
248,0,20200901092702 ,214330,4740,22802735,0,0
